Exch.Rate,,,,,,,,,,,
USD,RMB,,,,,,,,,,
US$1.00 ,¥6.95,,,,,,,,,,
3/2/2026,,,,,,,,,,,
,,,,,,,,,,,
Letters price,,,,Process Surcharge,,,,Packing Fee,,,
Size,Price,Unit,,Type,Option,Unit,,Type,Price,Unit,Minimum price
0-5cm,US$1.20 ,cm,,Thinckness,D=30mm,0%,,Carton,US$40.00 ,sq.m,US$15.00 
5-10cm,US$1.50 ,cm,,,D=35mm,10%,,Wooden Case,US$50.00 ,sq.m,US$20.00 
10-15cm,US$1.70 ,cm,,,D=40mm,20%,,,,,
15-20cm,US$1.90 ,cm,,Vinyl,Avery 4500,7%,,,,,
20-25cm,"US$1,150.00 ",sq.m,,,Avery 5500,10%,,,,,
25-30cm,"US$1,120.00 ",sq.m,,,3M 3630,10%,,,,,
30-35cm,"US$1,090.00 ",sq.m,,,3M 3635,13%,,,,,
35-40cm,"US$1,060.00 ",sq.m,,Printing,UV Printing,13%,,,,,
40-45cm,"US$1,030.00 ",sq.m,,,,,,,,,
45-50cm,"US$1,000.00 ",sq.m,,,,,,,,,
＞50cm,US$970.00 ,sq.m,,,,,,,,,
